id,response
11,"Preprints sind nützlich, da sie Forschenden die Möglichkeit bieten, ihre Forschungsergebnisse schnell und effizient mit der wissenschaftlichen Gemeinschaft zu teilen, noch bevor sie den formellen Begutachtungsprozess einer Fachzeitschrift durchlaufen haben. Dadurch ermöglichen Preprints eine rasche wissenschaftliche Kommunikation und den Austausch von Ideen. Zudem können andere Forschende aus dem Feld auf Unklarheiten bei der Dokumentation und Schwachpunkte in einer Studie hinweisen, bevor das Manuskript zur wissenschaftlichen Begutachtung und Publikation bei einer Zeitschrift eingereicht wird."
12,"Die digitale Bibliothek JSTOR bietet Zugang zu mehr als 12 Millionen Zeitschriftenartikeln, Büchern, Bildern und Primärquellen in 75 Disziplinen."
13,"Für den Zugriff auf kostenpflichtige Ressourcen, die von deiner Universität abonniert wurden, benötigst du ein VPN (Virtual Private Network). Mit einem VPN-Client kannst du dich von zu Hause aus sicher und verschlüsselt in das Netzwerk deiner Universität einwählen. Dadurch erhältst du Zugriff auf alle abonnierten Zeitschriften und Ressourcen, als wärst du direkt vor Ort an der Universität. Das VPN ermöglicht es dir, von externen Standorten aus auf die digitalen Bibliotheksbestände und andere universitäre Dienste zuzugreifen, die normalerweise nur innerhalb des Universitätsnetzwerks verfügbar sind."
14,"Ja, du kannst die Referenzliste eines Literaturverwaltungsprogramms wie Zotero, Citavi oder Mendeley direkt übernehmen. Diese Programme ermöglichen es, automatisch Literaturangaben im gewünschten Zitationsstil zu generieren und sie in das Literaturverzeichnis deiner wissenschaftlichen Arbeit einzufügen. Es ist jedoch wichtig, die erstellten Referenzen auf Richtigkeit und Vollständigkeit zu überprüfen, da gelegentlich Fehler auftreten können. Wenn nötig, können Anpassungen manuell in der Literaturverwaltungssoftware oder im Manuskript vorgenommen werden. Beachte jedoch, dass nach manuellen Änderungen im Manuskript die automatische Anpassung der Referenzen über die Literaturverwaltungssoftware nicht mehr möglich ist."
15,"Psychological Review ist eine renommierte Fachzeitschrift im Bereich der Psychologie. Sie wird von der American Psychological Association (APA) herausgegeben und zählt zu den führenden Zeitschriften in der psychologischen Forschung. Psychological Review veröffentlicht Artikel zu verschiedenen Themen der Psychologie, darunter theoretische Arbeiten, empirische Studien und Literaturübersichten. Die Zeitschrift hat einen hohen Impact-Faktor und ist bekannt für die Veröffentlichung qualitativ hochwertiger Forschungsergebnisse."
16,"Bei der Datenerhebung in der Forschung sind mindestens drei Personen bzw. Gruppen von Personen von grosser Bedeutung: 

1. Die Versuchspersonen, die am Experiment teilnehmen.
2. Die Versuchsleitung (Versuchsleiterinnen und Versuchsleiter), die das Experiment durchführt und die Versuchspersonen testet.
3. Die Projektleitung (Projektleiterinnen und Projektleiter), welche den Forschungsprozess überblickt und die relevanten Entscheidungen trifft."
17,"Die Ethikkommission prüft und genehmigt Studien **vor** Beginn der Datenerhebung. Ihre Aufgabe besteht darin, sicherzustellen, dass die Versuchspersonenrechte eingehalten werden und dass die Studie ethisch vertretbar ist. Dies beinhaltet die Überprüfung, ob der Nutzen der Studie die Kosten rechtfertigt. Die Kosten-Nutzen-Frage bezieht sich nicht ausschließlich auf monetäre Aspekte, sondern kann auch ethische Überlegungen einschließen. Die Ethikkommission entscheidet beispielsweise darüber, ob es ethisch vertretbar ist, dass Versuchspersonen erst im Nachhinein über die Details der Studie aufgeklärt werden, um den Erkenntnisgewinn nicht zu beeinflussen. Es ist wichtig, dass Versuchspersonen wissen, was sie im Rahmen der Studie erwartet und was ihre Rechte sind."
18,"Die Kosten-Nutzen-Frage bezieht sich darauf, ob der Nutzen einer Studie die damit verbundenen Kosten rechtfertigt. In Bezug auf die Ethikkommission bedeutet dies, dass geprüft wird, ob die potenziellen Vorteile der Studie, wie beispielsweise der Erkenntnisgewinn, die potenziellen Kosten und Risiken für die Versuchspersonen aufwiegen. Es geht also darum abzuwägen, ob der gesellschaftliche oder wissenschaftliche Nutzen der Studie die potenziellen negativen Auswirkungen oder Einschränkungen für die Versuchspersonen rechtfertigt."
19,"Die Versuchspersonen müssen über folgende Punkte angemessen informiert werden:
- Hauptziel und Nutzen des Experiments
- Dauer und Umfang des Experiments
- Freiwilligkeit der Teilnahme
- Vorhandensein einer Ethikprüfung
- Umsetzung des Datenschutzes
- Beantwortung allfälliger weiterer Fragen
- Sicherstellen, dass die Einschlusskriterien für das Experiment eingehalten werden."
20,"Wenn die Versuchsperson unangenehme Bilder während des Experiments sieht, ist es wichtig, folgende Punkte zu beachten:

1. Sicherstellen, dass die Freiwilligkeit der Versuchsperson jederzeit gewährleistet ist, und sie das Recht hat, das Experiment jederzeit abzubrechen, insbesondere wenn sie sich unwohl fühlt.
   
2. Die Versuchsperson wieder in ihren ursprünglichen affektiven Zustand zurückführen, bevor sie entlassen wird, um negative Auswirkungen zu minimieren.
   
3. Erklären, warum die Präsentation unangenehmer Bilder im Rahmen des Experiments notwendig war, um das Verständnis und die Zustimmung der Versuchsperson zu gewährleisten.
   
4. Bei Bedarf psychologische Unterstützung oder Nachbetreuung anbieten, um sicherzustellen, dass die Versuchsperson keine negativen emotionalen Folgen davonträgt.
   
5. Die Versuchsperson während des Experiments unterstützen und ermutigen, um sicherzustellen, dass sie sich geschätzt und unterstützt fühlt, auch in schwierigen Situationen.

Es ist wichtig, dass die Versuchspersonen während des gesamten Experiments respektvoll behandelt werden und ihre Sicherheit und Wohlbefinden oberste Priorität haben."
21,"Die Aufgaben der Projektleitung umfassen:

1. Zeitplanung und -management.
2. Ressourcenplanung und -verwaltung.
3. Verfassen eines Ethikantrags zur Prüfung des Vorhabens vor der Datenerhebung.
4. Planung, Koordination und Supervision der Datenerhebung.
5. Entscheiden bei und Supervidieren von Datenanalysen und/oder Durchführen von Datenanalysen.
6. Fällen von Entscheidungen unter Berücksichtigung der Argumente aller Beteiligten.
7. Sicherung des kollaborativen Miteinanders im Projekt.
8. Suche nach konstruktiven Lösungen bei Konflikten mit den Konfliktparteien."
22,"Pilotieren im Kontext eines (psychologischen) Experiments bedeutet das Austesten der methodischen Implementierung, einschließlich der experimentellen Prozedur, eines Experiments vor der eigentlichen Datenerhebung. Es dient dazu, sicherzustellen, dass die Reizpräsentation, Antworterfassung und die experimentelle Aufgabe insgesamt entsprechend den geplanten Bedingungen zuverlässig funktionieren. Durch die Pilotierung wird ein reibungsloser Ablauf beim Testen von Versuchspersonen garantiert."
23,"Bei laborbasierten Experimenten ist erfahrungsgemäss mit einer Quote von 1-2% zu rechnen, während bei Online-Experimenten mit einer Quote von 5-10% zu rechnen ist. Das bedeutet, dass aufgrund technischer Schwierigkeiten bei laborbasierten Experimenten etwa 1-2% der Daten verloren gehen können, und bei Online-Experimenten etwa 5-10% der Daten verloren gehen können."
24,"Es gibt Vor- und Nachteile sowohl für Labor- als auch für Online-Experimente. Wenn du eine grössere Reichweite und die Möglichkeit haben möchtest, viele Versuchspersonen in kurzer Zeit zu erreichen, könnte ein Online-Experiment die bessere Wahl sein. Allerdings musst du bedenken, dass du bei Online-Experimenten nicht physisch anwesend bist, um das Verhalten der Versuchspersonen zu überwachen und zu intervenieren, falls nötig. Zudem sind die Umgebungsbedingungen bei Online-Experimenten schwerer zu kontrollieren. Wenn du hingegen eine direktere Kontrolle über den Experimentablauf und das Verhalten der Versuchspersonen haben möchtest, könnte ein Labor-Experiment die bessere Option sein. Letztendlich hängt die Entscheidung davon ab, welche Aspekte deines Experiments dir wichtiger sind und welche Vor- und Nachteile du bereit bist in Kauf zu nehmen. Es könnte auch sinnvoll sein, eine Kombination aus beiden Ansätzen zu wählen, indem du eine kleinere Gruppe im Labor testest und eine grössere Gruppe online."
25,"Die deskriptive Statistik beschreibt die zentralen Tendenzen und die Streuung der erhobenen Daten, während die Inferenzstatistik Schlussfolgerungen zur Grundgesamtheit auf Basis der erhobenen Daten zieht. Die deskriptive Statistik liefert Informationen über die vorliegenden Daten, wie Mittelwert, Median, Standardabweichung usw., während die Inferenzstatistik versucht, allgemeingültige Schlussfolgerungen zu ziehen, ob beispielsweise ein beobachteter Unterschied signifikant ist. Die deskriptive Statistik beschreibt also, was in den Daten vorhanden ist, während die Inferenzstatistik versucht, darüber hinausgehende Schlussfolgerungen zu ziehen. Beide Statistiken sind komplementär und ergänzen sich in der Datenanalyse."
26,"Nachdem du alle Daten gesammelt hast, musst du mit der Datenaufbereitung beginnen. Dieser Prozess beinhaltet mehrere Schritte:

1. Extrahiere die Rohdaten aus der Software zur computergestützten Datenerhebung.
2. Filtere die Rohdaten anhand der relevanten Variablen, z.B. schliesse Rohdaten aus Übungsblöcken aus.
3. Schliesse Versuchspersonen mit fehlenden Datenpunkten aus oder ersetze fehlende Datenpunkte mit statistischen Methoden, abhängig vom statistischen Verfahren.
4. Identifiziere und entferne oder ersetze Ausreisser in den Daten, entweder auf der Ebene der Versuchsperson oder auf der Ebene einzelner Durchgänge einer Versuchsperson.
5. Aggregiere die Daten je nach statistischem Verfahren, z.B. durch Mittelung auf der Ebene einzelner Versuchspersonen für jede experimentelle Bedingung.

Erst nachdem die Daten aufbereitet sind, kannst du mit der eigentlichen Datenanalyse beginnen, die durch die Forschungsfrage und das experimentelle Design bestimmt wird. Die Datenanalyse besteht aus der deskriptiven Statistik und der Inferenzstatistik. Stelle sicher, dass du die Voraussetzungen für die inferenzstatistischen Verfahren einhältst und dass deine Analysen den Anforderungen deiner Forschungsfragen und deines experimentellen Designs entsprechen."
27,"Bei Grafiken ist es wichtig, die Achsenabschnitte so zu wählen, dass die Datenlage möglichst unverfälscht und transparent dargestellt wird, und nicht so, dass Unterschiede zwischen verschiedenen Bedingungen möglichst gross oder klein dargestellt werden. Zudem sollten nicht serife Schriftarten mit einer Grösse zwischen 8 und 14 Punkten innerhalb der Grafik verwendet werden. Der Text in Grafiken kann in einfachem, anderthalbfachem und doppeltem Zeilenabstand formatiert werden, je nachdem welches Format die effektivste Darstellung der Daten erlaubt. Darüber hinaus sollten Grafiken mit einer Bezeichnung «Abbildung» und einer fortlaufenden Abbildungsnummer versehen werden. Die Beschriftung wird in fetter Schrift linksbündig über der Grafik geschrieben, gefolgt vom Titel in kursiver, aber nicht fetter Schrift. Wichtige Wörter im Titel werden grossgeschrieben. Anmerkungen unter der Grafik können nähere Erklärungen zum Inhalt liefern und sollten mit dem Wort «Anmerkung» in kursiver Schrift eingeleitet werden. Bei mehreren Untergrafiken werden diese mit Grossbuchstaben «A», «B», usw. gekennzeichnet, die oben links über jeder Untergrafik geschrieben werden."
28,"Es wird empfohlen, die Daten vorzugsweise in Tabellen anstatt in Grafiken zu präsentieren, da Tabellen das Datenmuster besser erkennen lassen. Grafiken können jedoch auch verwendet werden, um Daten visuell darzustellen und bestimmte Muster oder Trends hervorzuheben. Es ist wichtig, sparsam mit Tabellen und Grafiken umzugehen, um Redundanz zwischen Text und visuellen Darstellungen zu vermeiden."
29,"Konfirmatorische Analysen sind vorab geplante Analysen, die darauf abzielen, spezifische Hypothesen oder Forschungsfragen zu überprüfen. Diese Analysen werden in der Regel durchgeführt, um bestehende Theorien zu testen oder um vorher festgelegte Vorhersagen zu überprüfen. Konfirmatorische Analysen sind im Gegensatz zu explorativen Analysen streng vordefiniert und dienen dazu, bereits bestehendes Wissen zu überprüfen oder zu bestätigen. Es ist wichtig, konfirmatorische Analysen klar von explorativen Analysen zu unterscheiden und sie entsprechend zu kennzeichnen, um die Transparenz und Nachvollziehbarkeit der Forschungsergebnisse zu gewährleisten."
30,"Bei der Datenanalyse solltest du bestimmte Verhaltensweisen unbedingt vermeiden, um die wissenschaftliche Integrität zu wahren und Fehlinterpretationen zu verhindern. Zwei wichtige Punkte sind:

1. **Datenverfälschung:** Dies beinhaltet das willkürliche Verändern von Daten, wie zum Beispiel das spezifische und nicht gerechtfertigte Ausschliessen von Versuchspersonen, um Hypothesen zu bestätigen. Solche Praktiken können zu verzerrten Ergebnissen führen und die Glaubwürdigkeit der Forschung beeinträchtigen.

2. **Datenfälschung:** Hierbei handelt es sich um das freie Erfinden oder Fabrizieren von Daten, wie beispielsweise das Berichten von Mittelwerten, ohne dass jemals Daten erhoben wurden. Datenfälschung ist ein schwerwiegender Verstoss gegen wissenschaftliche Standards und kann zu erheblichem Schaden führen, wie zum Beispiel der Finanzierung von Forschungsprojekten auf Grundlage falscher Daten.

Es ist entscheidend, diese Praktiken zu vermeiden, um die Integrität der Forschung zu bewahren und verlässliche wissenschaftliche Erkenntnisse zu gewährleisten."
31,"Präregistrierung bedeutet, dass die Theorie, abgeleitete Hypothesen, Methoden und Datenanalyse vor dem Beginn der Datenerhebung schriftlich festgehalten und mit einem Zeitstempel versehen werden. Diese Informationen werden ""eingefroren"", sodass sie im Nachhinein nicht mehr verändert werden können. Das Ziel der Präregistrierung ist es, zu verhindern, dass Daten so lange mit verschiedenen Parametern analysiert werden, bis signifikante Ergebnisse gefunden werden, und diese dann als geplante Analysen dargestellt werden. Explorative Analysen sind weiterhin möglich, müssen jedoch als solche gekennzeichnet werden."
32,"Die Richtlinien für die Erstellung von Manuskripten sind in den Vorgaben der American Psychological Association (APA) festgelegt. Diese Vorgaben beinhalten detaillierte Anweisungen zur Formatierung von Manuskripten, einschließlich Aspekten wie Kopfzeile, Schriftart, Zeilenabstand, Seitenränder, Absatzausrichtung, Abkürzungen und vielem mehr. Es wird empfohlen, sich mit den aktuellen Richtlinien der APA vertraut zu machen, um ein wissenschaftliches Manuskript gemäß den akzeptierten Standards zu erstellen."
33,"Die Struktur eines Manuskripts umfasst verschiedene Ebenen, die berücksichtigt werden sollten, um das Verständnis zu erleichtern. Auf der übergeordneten Ebene eines empirischen Artikels sind typischerweise folgende Manuskriptteile enthalten: Titel(-seite), Kurzfassung, Einleitung, Methode, Resultate, Diskussion und Literaturverzeichnis. Zusätzlich können auch Autorenbeiträge, Fussnoten, Tabellen, Abbildungen und Anhänge hinzukommen. Es ist wichtig, dass die Struktur auf jeder Ebene - vom gesamten Manuskript bis hin zur Wortebene - sorgfältig durchdacht und umgesetzt wird, um eine klare, konzise und organisierte Darstellung der Ideen zu gewährleisten."
34,Ich bin mir nicht sicher. Kannst du deine Frage umformulieren?
35,"Bei einem Paragraphen ist zu beachten, dass er mit einem Themensatz eingeleitet wird, der das Thema des Absatzes bekannt gibt. Jeder Absatz behandelt nur ein Thema, welches vom Allgemeinen zum Spezifischen hin behandelt wird. Das Thema wird innerhalb des Absatzes nur so weit behandelt, wie es für die spezifische Forschungsfrage des Artikels relevant ist. Der letzte Satz in einem Absatz leitet zum Thema des nächsten Absatzes weiter, welcher wiederum mit einem Themensatz eingeführt wird. Inhaltlich bildet sich innerhalb eines Absatzes ein linearer thematischer Verlauf, und das gleiche Thema wird innerhalb desselben Manuskriptteils nicht mehrmals behandelt. Es sollte nach jedem Absatz die Frage gestellt werden, ob dieser Absatz für die Forschungsfrage relevant ist, und nur die Absätze, die mit ""ja"" beantwortet werden, sollten beibehalten werden. Dieses Vorgehen ermöglicht es, ein prägnantes Manuskript mit Fokus auf das Wesentliche zu verfassen."
36,"Bei einem Absatz ist zu beachten, dass er aus mindestens zwei Sätzen besteht und mit einem Themensatz eingeleitet wird, der das Thema des Absatzes bekannt gibt. Innerhalb eines Absatzes wird ein Thema vom Allgemeinen zum Spezifischen hin behandelt. Das Thema wird nur so weit behandelt, wie es für die spezifische Forschungsfrage des Artikels relevant ist. Der letzte Satz in einem Absatz leitet zum Thema des nächsten Absatzes weiter. Nach dem Verfassen einer ersten Version des Manuskripts sollte nach jedem Absatz die Frage gestellt werden, ob dieser Absatz für die Forschungsfrage relevant ist. Nur die Absätze, die mit ""ja"" beantwortet werden, sollten beibehalten werden, um ein prägnantes Manuskript mit Fokus auf das Wesentliche zu verfassen."
37,Ich bin mir nicht sicher. Kannst du deine Frage umformulieren?
38,"Wenn es für einen Fachbegriff keine geeignete deutsche Übersetzung gibt, sollte der englische Fachbegriff verwendet werden. Es ist wichtig, dass die Verwendung von Fachbegriffen konsistent ist und die Fachsprache des wissenschaftlichen Textes respektiert wird. In diesem Fall wird der englische Fachbegriff beim ersten Auftreten kursiv geschrieben, um deutlich zu machen, dass es sich um einen Fachbegriff handelt."
39,"Das Abstract, also die Kurzfassung, darf maximal 250 Wörter lang sein. Es soll einen kurzen und verständlichen Überblick über die Inhalte des Manuskripts geben, einschließlich zentraler Konzepte, theoretischem Hintergrund, Forschungsfrage, Stichprobe, verwendeten Aufgaben, experimentellen Bedingungen, Hauptbefunden und deren Interpretation im Hinblick auf die Forschungsfrage. Es ist wichtig, dass das Abstract akkurat, nicht wertend, kohärent, leserlich, konzis und alleinstehend ist. Abkürzungen müssen eingeführt werden, sowohl im Abstract als auch später beim ersten Gebrauch in der Einleitung."
40,"Der erste Paragraph der Einleitung beinhaltet einen einleitenden Absatz, der dazu dient, das Interesse der Leserinnen und Leser zu wecken. In diesem Absatz werden folgende Punkte behandelt:
- Wie kann das Interesse der Leserin oder des Lesers geweckt werden?
- Definition eines interessanten Phänomens, eines Beispiels oder einer allgemeinen Aussage.
- Definition der Hauptkonzepte, die notwendig sind, um die Forschungsfrage zu verstehen.
- Darstellung des bereits bekannten Wissens im Rahmen der Hauptkonzepte.
- Aufzeigen der Forschungslücke und Formulierung der Forschungsfrage, die diese Lücke schließen soll."
41,"Der einleitende Absatz beinhaltet folgende Informationen:
1. Weckung des Interesses der Leserin oder des Lesers durch die Definition eines interessanten Phänomens, eines Beispiels oder einer allgemeinen Aussage.
2. Definition der Hauptkonzepte, die notwendig sind, um die Forschungsfrage zu verstehen.
3. Darstellung des bereits bekannten Wissens im Rahmen der Hauptkonzepte.
4. Aufzeigen der Forschungslücke und Formulierung der Forschungsfrage, die diese schliessen soll.
5. Klarstellung, welche Hauptkonzepte definiert werden müssen, um die Forschungsfrage zu beantworten."
42,"Die Hypothesen werden im letzten Absatz der Einleitung genannt. Es ist wichtig, dass die Hypothesen aus der vorangegangenen Integration und Synthese der Forschung abgeleitet werden und einen klaren Bezug zur Einleitung haben. Es sollten alle möglichen Hypothesen aufgeführt werden, auch wenn sie widersprüchlich sind, solange jede Hypothese in sich selbst nicht widersprüchlich ist. Die Formulierung der Hypothesen erfolgt typischerweise mit Sätzen wie: ""Wenn Annahme/Theorie/Modell A gilt, dann erwarten wir Ergebnismuster 1."" Bei widersprüchlichen Hypothesen kann der Widerspruch durch Ausdrücke wie ""dagegen"" oder ""Im Gegensatz dazu"" gekennzeichnet werden."
43,"Die Methode gliedert sich in verschiedene Unterabschnitte, die üblicherweise folgende Punkte umfassen:

1. **Design**: Beschreibung des Forschungsdesigns, z.B. experimentell, korrelativ, etc.
2. **Stichprobe**: Informationen zur Auswahl und Zusammensetzung der Stichprobe.
3. **Materialien**: Auflistung und Beschreibung der verwendeten Materialien, Instrumente oder Geräte.
4. **Durchführung**: Schritt-für-Schritt Beschreibung des Ablaufs des Experiments oder der Studie.
5. **Analyseverfahren**: Beschreibung der statistischen oder anderen Analyseverfahren, die angewendet wurden.

Diese Unterabschnitte dienen dazu, die Leserinnen und Leser über die Vorgehensweise und den Ablauf der Studie zu informieren, sodass sie die Ergebnisse besser nachvollziehen und bewerten können."
44,"Die Rezeptmetapher wird verwendet, um die Bedeutung und den Unterschied zwischen dem Materialteil und der Durchführung in einem wissenschaftlichen Text zu verdeutlichen. Dabei wird das Material mit den Zutaten eines Rezepts verglichen, da es die Objekte des Experiments beschreibt. Die Durchführung wird mit dem eigentlichen Rezept verglichen, da sie die Abläufe des Experiments beschreibt und angibt, wie die Zutaten (Material) verwendet werden müssen, um das Experiment replizieren zu können."
45,"Zum Design einer Studie gehören die Beschreibung der unabhängigen Variablen und deren Stufen, die explizite Erwähnung, ob es sich um Innersubjekt- oder Zwischensubjekt-Faktoren handelt, sowie die Nennung der abhängigen Variablen. Es ist wichtig, das Design vollständig zu beschreiben, um zu definieren, wie die Forschungsfrage operationalisiert wurde und wie die Ergebnisse ausgewertet und interpretiert werden können."
46,"Der Satz ""Um zu überprüfen, ob Synästhetiker gegenüber Nicht-Synästhetikern nicht nur einen Gedächtnisvorteil nach einem kurzen Behaltensintervall haben, sondern auch nach einem längeren Behaltensintervall, haben wir eine zweifaktorielle Varianzanalyse mit dem Zwischensubjektfaktor Gruppe (Synästhetiker vs. Kontrollen) und dem Innersubjektfaktor Testphase (direkt vs. verzögert) gerechnet."" gehört im Manuskript direkt nach der Einleitung der inferenzstatistischen Analysen, die den Zweck der Analyse und das zugrunde liegende Design beschreiben."
47,"Die Diskussion besteht aus folgenden Teilen:

1. Zusammenfassung der Resultate
2. Integration der Resultate in der bisherigen Forschung
3. Limitationen
4. Erkenntnisgewinn"
48,"Im wissenschaftlichen Schreiben gelten bestimmte Konventionen bezüglich der Zeitformen, die in verschiedenen Abschnitten eines Textes verwendet werden sollten. Grundsätzlich werden etablierte allgemeingültige Befunde sowie die Interpretation eigener Befunde im Präsens (Gegenwart) formuliert. Einmalige Befunde, wie sie beispielsweise in der Einleitung und im Resultate-Teil auftreten können, werden in der Vergangenheit berichtet. Die Beschreibung der Methoden, da sie bereits durchgeführt wurden, erfolgt ebenfalls in der Vergangenheit. Es ist jedoch wichtig zu beachten, dass die sprachliche Kohärenz und Grammatik stets Vorrang haben sollten. Daher ist es wichtiger, dass die Sätze sprachlich sinnvoll und grammatikalisch korrekt miteinander verknüpft sind, als dass strikt an diese Zeitformregeln gehalten wird."
49,"Das System, nach dem angegeben wird, welche Beiträge einzelne Personen zu einer wissenschaftlichen Arbeit geleistet haben, heisst ""Contributor Roles Taxonomy"" (CRediT)."
50,"Ja, das stimmt. Das Literaturverzeichnis hat den Zweck, die im Text zitierten Quellen zuverlässig zu dokumentieren. Es dient dazu, frühere Forschungsarbeiten anzuerkennen und die Interpretation sowie Schlussfolgerungen in wissenschaftlichen Arbeiten zu stützen."
51,"Nein, das stimmt nicht. Gemäss den Richtlinien im Lehrbuch ""Wissenschaftliches Arbeiten und Kommunizieren"" sollten Fussnoten möglichst vermieden werden und der Inhalt sollte stattdessen im Text integriert werden. Fussnoten dienen dazu, zusätzliche Informationen oder Copyright-Vermerke bereitzustellen, sollten jedoch keine irrelevanten Informationen enthalten. Es ist ratsam, Fussnoten sparsam und gezielt einzusetzen, um die Lesbarkeit und Kohärenz des Textes zu gewährleisten."
52,"Ab weniger als vier Bedingungen sollten die Werte im Text berichtet werden, da der Gebrauch einer Tabelle oder Abbildung erst ab mindestens vier Bedingungen Sinn ergibt."
53,"Nein, es ist nicht sinnvoll, wichtige Informationen im Text, in Tabellen und in Abbildungen mehrfach zu präsentieren. Es sollte vermieden werden, redundante Informationen zu präsentieren, um die Klarheit und Effizienz der Kommunikation zu gewährleisten. Stattdessen sollte man sich jeweils für ein Format entscheiden, in dem die Information am besten präsentiert werden kann, und Redundanzen zwischen den verschiedenen Darstellungsformen vermeiden."
