question,expected_file,top1_file,top2_file,top3_file,top3_files,is_correct_top1,is_correct_top2,is_correct_top3
Was ist pilotieren?,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
Wie viele Daten kann ich verlieren wegen technischen Schwierigkeiten?,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
Sollte ich mein Experiment im Labor oder online durchführen?,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
Was ist der Unterschied zwischen deskriptiver und inferenz Statistik?,05-dataanalysis.qmd,05-dataanalysis.qmd,08-content.qmd,05-dataanalysis.qmd,"['05-dataanalysis.qmd', '08-content.qmd', '05-dataanalysis.qmd']",1,1,1
"Was muss ich machen, nachdem ich alle Daten gesammelt habe?",05-dataanalysis.qmd,05-dataanalysis.qmd,05-dataanalysis.qmd,05-dataanalysis.qmd,"['05-dataanalysis.qmd', '05-dataanalysis.qmd', '05-dataanalysis.qmd']",1,1,1
Was muss ich bei Grafiken beachten?,05-dataanalysis.qmd,09-formatting.qmd,14-poster.qmd,05-dataanalysis.qmd,"['09-formatting.qmd', '14-poster.qmd', '05-dataanalysis.qmd']",0,0,1
Soll ich die Daten lieber in Tabellen oder Grafiken zeigen?,05-dataanalysis.qmd,05-dataanalysis.qmd,08-content.qmd,08-content.qmd,"['05-dataanalysis.qmd', '08-content.qmd', '08-content.qmd']",1,1,1
Was sind konfirmatorische Analysen?,05-dataanalysis.qmd,10-writing.qmd,05-dataanalysis.qmd,08-content.qmd,"['10-writing.qmd', '05-dataanalysis.qmd', '08-content.qmd']",0,1,1
Was darf ich bei der Datenanalyse nicht machen?,05-dataanalysis.qmd,05-dataanalysis.qmd,05-dataanalysis.qmd,05-dataanalysis.qmd,"['05-dataanalysis.qmd', '05-dataanalysis.qmd', '05-dataanalysis.qmd']",1,1,1
Was heisst Präregistrierung?,05-dataanalysis.qmd,05-dataanalysis.qmd,05-dataanalysis.qmd,04-datacollection.qmd,"['05-dataanalysis.qmd', '05-dataanalysis.qmd', '04-datacollection.qmd']",1,1,1
Wo sind die Richtlinien für die erstellung von Manuskripten nachzulesen?,06-manuscript.qmd,10-writing.qmd,09-formatting.qmd,09-formatting.qmd,"['10-writing.qmd', '09-formatting.qmd', '09-formatting.qmd']",0,0,0
Wie ist die Struktur eines Manuskripts?,07-structure.qmd,07-structure.qmd,07-structure.qmd,06-manuscript.qmd,"['07-structure.qmd', '07-structure.qmd', '06-manuscript.qmd']",1,1,1
Wofür steht die Sanduhr?,07-structure.qmd,10-writing.qmd,11-cycle.qmd,09-formatting.qmd,"['10-writing.qmd', '11-cycle.qmd', '09-formatting.qmd']",0,0,0
Was ist bei einem Paragraphen zu beachten?,07-structure.qmd,11-cycle.qmd,09-formatting.qmd,07-structure.qmd,"['11-cycle.qmd', '09-formatting.qmd', '07-structure.qmd']",0,0,1
Was ist bei einem Absatz zu beachten?,07-structure.qmd,07-structure.qmd,07-structure.qmd,11-cycle.qmd,"['07-structure.qmd', '07-structure.qmd', '11-cycle.qmd']",1,1,1
Defizit im deklarativen Gedächtnis,07-structure.qmd,08-content.qmd,10-writing.qmd,13-talk.qmd,"['08-content.qmd', '10-writing.qmd', '13-talk.qmd']",0,0,0
Was soll ich machen wenn es für einen Fachbegriff keine gute deutsche Übersetzung gibt?,07-structure.qmd,07-structure.qmd,09-formatting.qmd,03-literature.qmd,"['07-structure.qmd', '09-formatting.qmd', '03-literature.qmd']",1,1,1
Wie lange darf das Abstract sein?,08-content.qmd,09-formatting.qmd,08-content.qmd,12-publishing.qmd,"['09-formatting.qmd', '08-content.qmd', '12-publishing.qmd']",0,1,1
Was beinhaltet der erste Paragraph der Einleitung?,08-content.qmd,09-formatting.qmd,10-writing.qmd,07-structure.qmd,"['09-formatting.qmd', '10-writing.qmd', '07-structure.qmd']",0,0,0
Welche Informationen beinhaltet der einleitende Absatz?,08-content.qmd,09-formatting.qmd,07-structure.qmd,11-cycle.qmd,"['09-formatting.qmd', '07-structure.qmd', '11-cycle.qmd']",0,0,0
Wo werden die Hypothesen genannt?,08-content.qmd,08-content.qmd,08-content.qmd,05-dataanalysis.qmd,"['08-content.qmd', '08-content.qmd', '05-dataanalysis.qmd']",1,1,1
Welche Unterabschnitte hat die Methode?,08-content.qmd,09-formatting.qmd,14-poster.qmd,08-content.qmd,"['09-formatting.qmd', '14-poster.qmd', '08-content.qmd']",0,0,1
Wofür steht die Rezeptmetapher?,08-content.qmd,08-content.qmd,08-content.qmd,08-content.qmd,"['08-content.qmd', '08-content.qmd', '08-content.qmd']",1,1,1
Was gehört zum Design?,08-content.qmd,10-writing.qmd,05-dataanalysis.qmd,08-content.qmd,"['10-writing.qmd', '05-dataanalysis.qmd', '08-content.qmd']",0,0,1
"Wohin im Manuskript gehört dieser Satz: Um zu überprüfen, ob Synästhetiker gegenüber Nicht-Synästhetikern nicht nur einen Gedächtnisvorteil nach einem kurzen Behaltensintervall haben, sondern auch nach einem längeren Behaltensintervall, haben wir eine zweifaktorielle Varianzanalyse mit dem Zwischensubjektfaktor Gruppe (Synästhetiker vs. Kontrollen) und dem Innersubjektfaktor Testphase (direkt vs. verzögert) gerechnet.",08-content.qmd,08-content.qmd,08-content.qmd,04-datacollection.qmd,"['08-content.qmd', '08-content.qmd', '04-datacollection.qmd']",1,1,1
Aus welchen Teilen besteht die Diskussion?,08-content.qmd,09-formatting.qmd,08-content.qmd,10-writing.qmd,"['09-formatting.qmd', '08-content.qmd', '10-writing.qmd']",0,1,1
Welche Zeitform muss ich verwenden?,08-content.qmd,08-content.qmd,10-writing.qmd,07-structure.qmd,"['08-content.qmd', '10-writing.qmd', '07-structure.qmd']",1,1,1
"Wie heisst das System nach dem ich Angebe, was wer gemacht hat?",08-content.qmd,10-writing.qmd,08-content.qmd,08-content.qmd,"['10-writing.qmd', '08-content.qmd', '08-content.qmd']",0,1,1
"Stimmt das: Das Literaturverzeichnis hat den Zweck, die im Text zitierten Quellen zuverlässig zu dokumentieren.",08-content.qmd,08-content.qmd,03-literature.qmd,09-formatting.qmd,"['08-content.qmd', '03-literature.qmd', '09-formatting.qmd']",1,1,1
Stimmt das: Fussnoten sollen grosszügig verwendet werden.,08-content.qmd,08-content.qmd,09-formatting.qmd,13-talk.qmd,"['08-content.qmd', '09-formatting.qmd', '13-talk.qmd']",1,1,1
Ab wievielen Bedingungen soll ich die Werte in Tabellenform präsentieren?,08-content.qmd,08-content.qmd,08-content.qmd,05-dataanalysis.qmd,"['08-content.qmd', '08-content.qmd', '05-dataanalysis.qmd']",1,1,1
"Stimmt das: Es ist sinnvoll, wichtige Informationen im Text, in Tabellen, wie auch in Abbildungen mehrfach zu präsentieren? ",08-content.qmd,08-content.qmd,08-content.qmd,05-dataanalysis.qmd,"['08-content.qmd', '08-content.qmd', '05-dataanalysis.qmd']",1,1,1
"Stimmt das: Tests und Skalen, welche für die Studie entwickelt wurden gehören in den Methodenteil?",08-content.qmd,08-content.qmd,10-writing.qmd,10-writing.qmd,"['08-content.qmd', '10-writing.qmd', '10-writing.qmd']",1,1,1
Wie sieht die Formatierung aus?,09-formatting.qmd,09-formatting.qmd,06-manuscript.qmd,09-formatting.qmd,"['09-formatting.qmd', '06-manuscript.qmd', '09-formatting.qmd']",1,1,1
Wann schreibt man eine Null vor dem Dezimaltrennzeichen?,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,07-structure.qmd,"['09-formatting.qmd', '09-formatting.qmd', '07-structure.qmd']",1,1,1
Wie muss man runden?,09-formatting.qmd,09-formatting.qmd,10-writing.qmd,14-poster.qmd,"['09-formatting.qmd', '10-writing.qmd', '14-poster.qmd']",1,1,1
Wie ist das Literaturverzeichnis formatiert?,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,"['09-formatting.qmd', '09-formatting.qmd', '09-formatting.qmd']",1,1,1
Wie sind die Referenzen geordnet?,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,"['09-formatting.qmd', '09-formatting.qmd', '09-formatting.qmd']",1,1,1
Wie werden Fussnoten formatiert?,09-formatting.qmd,09-formatting.qmd,08-content.qmd,09-formatting.qmd,"['09-formatting.qmd', '08-content.qmd', '09-formatting.qmd']",1,1,1
Wie werden Tabellen formatiert?,09-formatting.qmd,09-formatting.qmd,05-dataanalysis.qmd,08-content.qmd,"['09-formatting.qmd', '05-dataanalysis.qmd', '08-content.qmd']",1,1,1
Wie werden Abbildungen formatiert?,09-formatting.qmd,09-formatting.qmd,05-dataanalysis.qmd,09-formatting.qmd,"['09-formatting.qmd', '05-dataanalysis.qmd', '09-formatting.qmd']",1,1,1
Wie sind Anhänge formatiert?,09-formatting.qmd,08-content.qmd,09-formatting.qmd,08-content.qmd,"['08-content.qmd', '09-formatting.qmd', '08-content.qmd']",0,1,1
Wie sind Titel formatiert? ,09-formatting.qmd,09-formatting.qmd,08-content.qmd,09-formatting.qmd,"['09-formatting.qmd', '08-content.qmd', '09-formatting.qmd']",1,1,1
Was ist die narrative Referenzierung?,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,"['09-formatting.qmd', '09-formatting.qmd', '09-formatting.qmd']",1,1,1
Was mache ich wenn zwei Autoren denselben Nachnamen haben?,09-formatting.qmd,09-formatting.qmd,08-content.qmd,09-formatting.qmd,"['09-formatting.qmd', '08-content.qmd', '09-formatting.qmd']",1,1,1
Was ist ein Blockzitat?,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,09-formatting.qmd,"['09-formatting.qmd', '09-formatting.qmd', '09-formatting.qmd']",1,1,1
Was muss ich bei Zahlen beachten?,09-formatting.qmd,09-formatting.qmd,08-content.qmd,08-content.qmd,"['09-formatting.qmd', '08-content.qmd', '08-content.qmd']",1,1,1
Wie soll ich den Text verfassen?,10-writing.qmd,10-writing.qmd,10-writing.qmd,11-cycle.qmd,"['10-writing.qmd', '10-writing.qmd', '11-cycle.qmd']",1,1,1
"Was bedeutet ""bias-free language""?",10-writing.qmd,10-writing.qmd,07-structure.qmd,07-structure.qmd,"['10-writing.qmd', '07-structure.qmd', '07-structure.qmd']",1,1,1
Was ist das Ziel bei der internen Revision?,11-cycle.qmd,11-cycle.qmd,11-cycle.qmd,11-cycle.qmd,"['11-cycle.qmd', '11-cycle.qmd', '11-cycle.qmd']",1,1,1
"Was bedeutet ""major revision""?",12-publishing.qmd,12-publishing.qmd,11-cycle.qmd,11-cycle.qmd,"['12-publishing.qmd', '11-cycle.qmd', '11-cycle.qmd']",1,1,1
Was sind die formalen Vorgaben bei einem Vortrag?,13-talk.qmd,13-talk.qmd,13-talk.qmd,13-talk.qmd,"['13-talk.qmd', '13-talk.qmd', '13-talk.qmd']",1,1,1
Wie muss ich mein Poster formatieren?,14-poster.qmd,14-poster.qmd,14-poster.qmd,14-poster.qmd,"['14-poster.qmd', '14-poster.qmd', '14-poster.qmd']",1,1,1
Was muss ich bei der Postergestaltung beachten?,14-poster.qmd,14-poster.qmd,14-poster.qmd,14-poster.qmd,"['14-poster.qmd', '14-poster.qmd', '14-poster.qmd']",1,1,1
"Ich habe eine Frage bezüglich APA 7-Richtlinien für die Referenzierung im Fliesstext. Ich habe einen Paragraphen, in dem ich eine Studie referenziere. Wie referenziere ich dieselbe Studie im selben paragraphen?",none,14-poster.qmd,09-formatting.qmd,09-formatting.qmd,"['14-poster.qmd', '09-formatting.qmd', '09-formatting.qmd']",0,0,0
